NOME_PROVINCIA,NOME_COMUNE,DECESSI_HIGH,DECESSI_LOW,AVG
Lecco,Dervio,7,1,7
Lecco,Dolzago,5,0,5
Lecco,Dorio,1,0,1
Lecco,Ello,1,0,1
Lecco,Erve,2,0,2
Lecco,Esino Lario,2,0,2
Lecco,Galbiate,44,44,44
Lecco,Garbagnate Monastero,2,0,2
Lecco,Garlate,3,0,3
Lecco,Imbersago,5,1,5
Lecco,Introbio,5,0,5
Lecco,La Valletta Brianza,8,0,8
Lecco,Lecco,182,182,182
Lecco,Lierna,4,0,4
Lecco,Lomagna,16,16,16
Lecco,Malgrate,8,0,8
Lecco,Mandello del Lario,38,38,38
Lecco,Margno,0,0,0
Lecco,Merate,28,14,28
Lecco,Missaglia,40,40,40
Lecco,Moggio,2,0,2
Lecco,Molteno,12,12,12
Lecco,Monte Marenzo,3,0,3
Lecco,Montevecchia,3,0,3
Lecco,Monticello Brianza,30,30,30
Lecco,Morterone,0,0,0
