"","NOME_PROVINCIA","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"323","Bergamo",2015-04-18,"MASCHI",10,548855,0,182197483852748
"324","Bergamo",2015-04-18,"TOTALE",26,1108508,0,234549502574632
"325","Bergamo",2015-04-19,"FEMMINE",17,559650,0,303761279371035
"326","Bergamo",2015-04-19,"MASCHI",10,548855,0,182197483852748
"327","Bergamo",2015-04-19,"TOTALE",27,1108505,0,243571296475884
"328","Bergamo",2015-04-20,"FEMMINE",12,559648,0,21442049288124
"329","Bergamo",2015-04-20,"MASCHI",11,548854,0,200417597393842
"330","Bergamo",2015-04-20,"TOTALE",23,1108502,0,207487221493511
"331","Bergamo",2015-04-21,"FEMMINE",11,559645,0,196553172100171
"332","Bergamo",2015-04-21,"MASCHI",11,548854,0,200417597393842
"333","Bergamo",2015-04-21,"TOTALE",22,1108500,0,198466396030672
"334","Bergamo",2015-04-22,"FEMMINE",15,559643,0,268028010713973
"335","Bergamo",2015-04-22,"MASCHI",9,548853,0,163978332996267
"336","Bergamo",2015-04-22,"TOTALE",24,1108497,0,216509381622142
"337","Bergamo",2015-04-23,"FEMMINE",9,559640,0,160817668501179
"338","Bergamo",2015-04-23,"MASCHI",9,548853,0,163978332996267
"339","Bergamo",2015-04-23,"TOTALE",18,1108494,0,162382475683224
"340","Bergamo",2015-04-24,"FEMMINE",16,559638,0,285899099060464
"341","Bergamo",2015-04-24,"MASCHI",14,548852,0,255077871630239
"342","Bergamo",2015-04-24,"TOTALE",30,1108491,0,270638191920367
"343","Bergamo",2015-04-25,"FEMMINE",13,559636,0,232293848144151
"344","Bergamo",2015-04-25,"MASCHI",7,548852,0,12753893581512
"345","Bergamo",2015-04-25,"TOTALE",20,1108488,0,180425949581773
"346","Bergamo",2015-04-26,"FEMMINE",12,559633,0,21442624005375
"347","Bergamo",2015-04-26,"MASCHI",7,548851,0,127539168189545
"348","Bergamo",2015-04-26,"TOTALE",19,1108485,0,171405115991646
"349","Bergamo",2015-04-27,"FEMMINE",20,559631,0,357378343944492
"350","Bergamo",2015-04-27,"MASCHI",8,548851,0,14575904935948
"351","Bergamo",2015-04-27,"TOTALE",28,1108482,0,25259769666986
"352","Bergamo",2015-04-28,"FEMMINE",17,559629,0,303772677970584
"353","Bergamo",2015-04-28,"MASCHI",7,548850,0,127539400564817
"354","Bergamo",2015-04-28,"TOTALE",24,1108479,0,216512897402657
"355","Bergamo",2015-04-29,"FEMMINE",21,559626,0,37525061380279
"356","Bergamo",2015-04-29,"MASCHI",16,548850,0,29151862986244
"357","Bergamo",2015-04-29,"TOTALE",37,1108476,0,333791620206482
"358","Bergamo",2015-04-30,"FEMMINE",12,559624,0,214429688505139
"359","Bergamo",2015-04-30,"MASCHI",12,548849,0,218639370755891
"360","Bergamo",2015-04-30,"TOTALE",24,1108473,0,216514069354869
"361","Bergamo",2016-01-01,"FEMMINE",12,559655,0,214417810972831
"362","Bergamo",2016-01-01,"MASCHI",8,548643,0,14581430912269
"363","Bergamo",2016-01-01,"TOTALE",20,1108298,0,180456880730634
"364","Bergamo",2016-01-02,"FEMMINE",8,559654,0,142945462732331
"365","Bergamo",2016-01-02,"MASCHI",13,548641,0,236949116088663
"366","Bergamo",2016-01-02,"TOTALE",21,1108295,0,189480237662355
"367","Bergamo",2016-01-03,"FEMMINE",19,559653,0,33949608060709
"368","Bergamo",2016-01-03,"MASCHI",13,548640,0,23694954797317
"369","Bergamo",2016-01-03,"TOTALE",32,1108293,0,288732311762323
